dataset,class,class_label,unit,geometry,mentions,docs,split,family,cls,as_named,aliases
water level/discharge data from modernized hydroposts,point_geocoded,exact point,point,yes — coordinates or a layer exists,2,1,False,"named source, family not stated","{""point_geocoded"": 2}",Water Level/Discharge Data from Modernized Hydroposts,
weather,point_geocoded,exact point,point,yes — coordinates or a layer exists,2,2,False,monitoring / tracking system,"{""point_geocoded"": 2}",weather data,
welfare & monitoring survey,national_spatial_derived,mapped / satellite,not stated,yes — coordinates or a layer exists,2,1,False,"household or phone survey, official statistics series, monitoring / tracking system, mapped layer / geospatial product","{""national_spatial_derived"": 2}",Welfare & Monitoring Survey,
weza reports and project progress reports,non_spatial,no place,—,unknown,2,1,False,registry / administrative database,"{""non_spatial"": 2}",Weza annual reports and project progress reports,
wfp rohingya crisis emergency vulnerability assessment,admin_linked,named area,country only,maybe — needs the survey's own geography,2,1,False,"household or phone survey, monitoring / tracking system","{""admin_linked"": 2}",WFP Rohingya Crisis Emergency Vulnerability Assessment,
who coronavirus disease (covid-19) dashboard,unclear,place not stated,—,unknown,2,2,True,monitoring / tracking system,"{""unclear"": 1, ""non_spatial"": 1}",WHO Coronavirus Disease (COVID-19) Dashboard,COVID-19 data
women business and law index,non_spatial,no place,—,no — aggregate,2,2,False,"named source, family not stated","{""non_spatial"": 2}","Women, Business, and the Law 2021 index",
world bank covid-19 business pulse survey,non_spatial,no place,—,maybe — needs the survey's own geography,2,1,False,household or phone survey,"{""non_spatial"": 2}",World Bank COVID-19 Business Pulse Survey,
world bank data bank,non_spatial,no place,—,unknown,2,1,False,"named source, family not stated","{""non_spatial"": 2}",World Bank Data Bank,
world bank development indicators,non_spatial,no place,—,maybe — needs the survey's own geography,2,2,False,"named source, family not stated","{""non_spatial"": 2}",World Bank Development Indicators,
world bank enterprise survey data for uganda,non_spatial,no place,—,maybe — needs the survey's own geography,2,2,False,household or phone survey,"{""non_spatial"": 2}",World Bank Enterprise Survey Data for Uganda,
world bank gender statistics,non_spatial,no place,—,unknown,2,2,False,official statistics series,"{""non_spatial"": 2}",World Bank Gender Statistics,
world bank global findex,non_spatial,no place,—,no — aggregate,2,2,False,registry / administrative database,"{""non_spatial"": 2}",World Bank Global Findex,
world bank kenya monthly economic data update,non_spatial,no place,—,unknown,2,1,False,"named source, family not stated","{""non_spatial"": 2}",World Bank Kenya Monthly Economic Data Update,
world bank mfmod,non_spatial,no place,—,no — aggregate,2,1,False,monitoring / tracking system,"{""non_spatial"": 2}",World Bank MFMOD data,
world bank online survey,admin_linked,named area,country only,maybe — needs the survey's own geography,2,2,False,household or phone survey,"{""admin_linked"": 2}",World Bank online survey,
world bank s profiting from parity report,non_spatial,no place,—,unknown,2,2,False,"named source, family not stated","{""non_spatial"": 2}",The World Bank’s 2019 _Profiting from Parity_ report,
world bank service delivery indicators (sdi) survey,admin_linked,named area,country only,maybe — needs the survey's own geography,2,2,True,household or phone survey,"{""non_spatial"": 1, ""admin_linked"": 1}",World Bank Service Delivery Indicators (SDI) survey,SDI
world bank survey,admin_linked,named area,country only,maybe — needs the survey's own geography,2,2,True,household or phone survey,"{""non_spatial"": 1, ""admin_linked"": 1}",World Bank survey,
world governance indicators,non_spatial,no place,—,no — aggregate,2,2,False,"named source, family not stated","{""non_spatial"": 2}",World Governance Indicators,
world population prospects,non_spatial,no place,—,maybe — needs the survey's own geography,2,2,False,facility / asset / infrastructure records,"{""non_spatial"": 2}",World Population Prospects 2022 Data,
young lives,admin_linked,named area,province / region / state,maybe — needs the survey's own geography,2,1,True,"household or phone survey, facility / asset / infrastructure records","{""admin_linked"": 1, ""non_spatial"": 1}",Young Lives data,
05 household listing,admin_linked,named area,province / region / state,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""admin_linked"": 1}",2003‐05 household listing,
1 household survey,non_spatial,no place,—,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""non_spatial"": 1}",1 2018 Household Survey,
10 ramu highway study report,point_geocoded,exact point,point,yes — coordinates or a layer exists,1,1,False,"named source, family not stated","{""point_geocoded"": 1}",10 Ramu Highway Study Report,
15 lebanon economic monitor,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",15 Lebanon Economic Monitor,
19 bridge survey,non_spatial,no place,—,maybe — needs the survey's own geography,1,1,False,"household or phone survey, facility / asset / infrastructure records","{""non_spatial"": 1}",2018–19 bridge survey,
20192020 demographic and health surveys,admin_linked,named area,country only,maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""admin_linked"": 1}",20192020 Demographic and Health Surveys,
38 gender inequality index,admin_linked,named area,country only,no — aggregate,1,1,False,"named source, family not stated","{""admin_linked"": 1}",38 Gender Inequality Index 2018,
6-month tracer/post-distribution monitoring (pdm) surveys,unclear,place not stated,—,maybe — needs the survey's own geography,1,1,False,"household or phone survey, monitoring / tracking system","{""unclear"": 1}",6-month tracer/post-distribution monitoring (PDM) surveys,
735 government ethionet accounts,non_spatial,no place,—,maybe — needs the survey's own geography,1,1,False,"named source, family not stated","{""non_spatial"": 1}",735 government EthioNet accounts,
a africa peer review mechanism country review of uganda,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",a 2009 Africa Peer Review Mechanism Country Review of Uganda,
a bank commissioned population movement analysis by iom,admin_linked,named area,local (ward/village/camp/kebele),unknown,1,1,False,"named source, family not stated","{""admin_linked"": 1}",a Bank commissioned population movement analysis by IOM,
a briefing by population council in september,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",A briefing by Population Council in September 2005,
a cornell university study,admin_linked,named area,point,unknown,1,1,False,"named source, family not stated","{""admin_linked"": 1}",a Cornell University study,
a cybersecurity maturity model (cmm) assessment,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",a Cybersecurity Maturity Model (CMM) assessment,
a devolution study,admin_linked,named area,point,maybe — needs the survey's own geography,1,1,False,facility / asset / infrastructure records,"{""admin_linked"": 1}",A devolution study,
a gender gap in id study,non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",a Gender Gap in ID Study,
a household survey of 1 500 refugees in kampala and settlements,admin_linked,named area,local (ward/village/camp/kebele),maybe — needs the survey's own geography,1,1,False,household or phone survey,"{""admin_linked"": 1}","a household survey of 1,500 refugees in Kampala and the settlements",
a ilo survey,non_spatial,no place,—,maybe — needs the survey's own geography,1,1,False,"household or phone survey, official statistics series, facility / asset / infrastructure records","{""non_spatial"": 1}",a recent ILO survey,
a imf and nber working paper,non_spatial,no place,—,no — aggregate,1,1,False,"named source, family not stated","{""non_spatial"": 1}",a recent IMF and NBER Working Paper,
a joint external evaluation (jee),non_spatial,no place,—,unknown,1,1,False,"named source, family not stated","{""non_spatial"": 1}",a Joint External Evaluation (JEE),
a lessons learned paper on livelihood activities for idps,admin_linked,named area,not stated,unknown,1,1,False,"named source, family not stated","{""admin_linked"": 1}",a lessons learned paper on livelihood activities for IDPs,
a management information system quite sophisticated where a moni,admin_linked,named area,not stated,maybe — needs the survey's own geography,1,1,False,"registry / administrative database, monitoring / tracking system","{""admin_linked"": 1}",a management information system quite sophisticated where a monitoring o f health centers activities and finances i s undertaken every six months,
